name,weight,HR,handedness,height,avg,BMI,height_degree
Steve Hovley,188,8,L,70,0.258,26.972,Medium
Don Leppert,220,15,R,74,0.229,28.243,Medium
Lee May,195,354,R,75,0.267,24.371,Medium
Sam McDowell,190,2,L,77,0.154,22.528,Tall
Rick Renick,188,20,R,72,0.221,25.495,Medium
Jeff Torborg,195,8,R,72,0.214,26.444,Medium
Dave Campbell,180,20,R,73,0.213,23.746,Medium
Pat Kelly,185,76,L,73,0.264,24.405,Medium
Al Weis,160,7,B,72,0.219,21.698,Medium
Jerry Turner,180,45,L,69,0.257,26.578,Medium
Rick Auerbach,165,9,R,72,0.22,22.376,Medium
Don Wilson,195,1,R,74,0.146,25.034,Medium
Sandy Valdespino,170,7,L,68,0.23,25.846,Medium
Ken Phelps,209,123,L,73,0.239,27.571,Medium
Cesar Cedeno,175,199,R,74,0.285,22.466,Medium
Phil Linz,180,11,R,73,0.235,23.746,Medium
Manny Mota,160,31,R,70,0.304,22.955,Medium
Steve Renko,230,6,R,77,0.215,27.271,Tall
Rick Sofield,195,9,L,73,0.243,25.724,Medium
Doug DeCinces,190,237,R,74,0.259,24.392,Medium
John Castino,175,41,R,71,0.278,24.405,Medium
Dave May,186,96,L,70,0.251,26.685,Medium
Ron Washington,155,20,R,71,0.261,21.616,Medium
Billy Grabarkewitz,165,28,R,70,0.236,23.672,Medium
Willie Aikens,220,110,L,75,0.271,27.495,Medium
Earl Williams,215,138,R,75,0.247,26.87,Medium
Don Hahn,180,7,R,73,0.236,23.746,Medium
Todd Cruz,175,34,R,72,0.22,23.732,Medium
Tom Egan,218,22,R,76,0.2,26.533,Medium
Bob Heise,175,1,R,72,0.247,23.732,Medium
Tommy Harper,165,146,R,69,0.257,24.364,Medium
Joe Wallis,180,16,B,71,0.244,25.102,Medium
Max Alvis,185,111,R,71,0.247,25.799,Medium
Rico Carty,200,204,R,75,0.299,24.996,Medium
Mike Cubbage,180,34,L,72,0.258,24.41,Medium
Merritt Ranew,170,8,L,71,0.247,23.708,Medium
Lyman Bostock,180,23,L,73,0.311,23.746,Medium
Damaso Garcia,165,36,R,73,0.283,21.767,Medium
Roy Howell,190,80,L,73,0.261,25.065,Medium
Boog Powell,230,339,L,76,0.266,27.993,Medium
Sonny Siebert,190,12,R,75,0.173,23.746,Medium
Bobby Darwin,190,83,R,74,0.251,24.392,Medium
Dan Driessen,187,153,L,71,0.267,26.078,Medium
Bruce Miller,185,1,R,73,0.246,24.405,Medium
Bob Bailor,170,9,R,71,0.264,23.708,Medium
Tommy Helms,165,34,R,70,0.269,23.672,Medium
Tony Armas,182,251,R,71,0.252,25.381,Medium
Willie Horton,209,325,R,71,0.273,29.146,Medium
Lou Piniella,182,102,R,72,0.291,24.681,Medium
Butch Hobson,193,98,R,73,0.248,25.46,Medium
John Wathan,205,21,R,74,0.262,26.318,Medium
Hal King,200,24,L,73,0.214,26.384,Medium
Mike Krukow,205,5,R,77,0.193,24.307,Tall
Andres Mora,180,27,R,72,0.223,24.41,Medium
Barry Foote,205,57,R,75,0.23,25.62,Medium
